,Title,Cast and crew,genres,overview,releasedate,duration,director_name,actor_1_name,actor_2_name,actor_3_name
160,The Fabelmans,"Steven Spielberg (director/screenplay); Tony Kushner (screenplay); Michelle Williams, Seth Rogen, Paul Dano, Gabriel LaBelle, Julia Butters, Oakes Fegley, Gabriel Bateman, Nicolas Cantu, Judd Hirsch",Drama,A drama loosely based on Spielberg's own childhood.,2022-11-23,,Steven Spielberg,Michelle Williams,Seth Rogen,Paul Dano
161,Creed III,"Michael B. Jordan (director); Zach Baylin, Keenan Coogler (screenplay); Michael B. Jordan, Tessa Thompson, Jonathan Majors, Phylicia Rashad",Drama Action,The third installment of Creed franchise.,2022-11-23,,Michael B. Jordan,Michael B. Jordan,Tessa Thompson,Jonathan Majors
162,Strange World,Don Hall (director); Qui Nguyen (screenplay),Animation Family Fantasy,"Follows the legendary Clades—a family of explorers whose differences threaten to topple their latest, and by far most crucial mission; A journey deep into an uncharted and treacherous land where fantastical creatures await.",2022-11-23,,Don Hall,Don Hall (director); Qui Nguyen (screenplay),,
163,Violent Night,"Tommy Wirkola (director); Pat Casey, Josh Miller, Josh Friedman (screenplay); David Harbour, John Leguizamo, Beverly D'Angelo",Action Thriller,"A team of elite mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage. But the team isn’t prepared for a surprise combatant on the grounds: Santa Claus.",2022-11-30,,Tommy Wirkola,David Harbour,John Leguizamo,Beverly D'Angelo
164,Avatar 2,"James Cameron (director/screenplay); Josh Friedman (screenplay); Sam Worthington, Zoe Saldana, Stephen Lang, Giovanni Ribisi, Vin Diesel, Edie Falco, Michelle Yeoh, Jemaine Clement, Cliff Curtis, Kate Winslet, Sigourney Weaver",Action Adventure Science Fiction Fantasy,"Twelve years after exploring Pandora and joining the Na’vi, Jake Sully has since raised a family with Neytiri and established himself within the clans of the new world. Of course, peace can only last so long. Especially when the military organization from the original film returns to “finish what they started”.",2022-12-14,,James Cameron,Sam Worthington,Zoe Saldana,Stephen Lang
165,Shazam! Fury of the Gods,"David F. Sandberg (director); Henry Gayden, Chris Morgan (screenplay); Zachary Levi, Jack Dylan Grazer, Rachel Zegler, Asher Angel, Djimon Hounsou, Lucy Liu, Helen Mirren",Comedy Action Fantasy,The further adventures of crime-fighting superhero Shazam.,2022-12-15,,David F. Sandberg,Zachary Levi,Jack Dylan Grazer,Rachel Zegler
166,Puss in Boots: The Last Wish,"Joel Crawford (director); Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh, John Mulaney, Da'Vine Joy Randolph, Ray Winstone, Olivia Colman",Animation Adventure Comedy Family Fantasy Drama,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2022-12-21,,Joel Crawford,Joel Crawford (director); Antonio Banderas,Salma Hayek,Harvey Guillén
167,I Wanna Dance with Somebody,"Kasi Lemmons (director); Anthony McCarten (screenplay); Naomi Ackie, Ashton Sanders, Stanley Tucci",Drama,Biopic of the legendary singer Whitney Houston.,2022-12-21,,Kasi Lemmons,Naomi Ackie,Ashton Sanders,Stanley Tucci
168,Babylon,"Damien Chazelle (director/screenplay); Brad Pitt, Margot Robbie, Tobey Maguire, Katherine Waterston, Max Minghella, Flea, Samara Weaving, Lukas Haas, Olivia Wilde, Spike Jonze, Jean Smart",Action Adventure Science Fiction Thriller,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,2008-08-20,101.0,Damien Chazelle,Brad Pitt,Margot Robbie,Tobey Maguire
169,A Man Called Otto,"Marc Forster (director), David Magee (screenplay); Tom Hanks",Drama Comedy,"Otto, a grumpy and strict widower, holds the rest of his neighborhood to his staunch rules. But just as Otto is about to give up on his life, he sparks a new friendship with his neighbors, prompting him to undergo a transformation.",2022-12-25,,Marc Forster,Tom Hanks,,
170,,,Comedy,"Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell. Militant vegan arsonists, raucous rugby teams, all night raves and crazed cops on motorbikes all make for a proper day out. An origin story that mixes Nan's present with her past where we finally find out what's made her the cantankerous old bastard she is today.",2022-03-18,95.0,nan,nan,,
