,Title,Cast and crew,genres,overview,releasedate,duration,director_name,actor_1_name,actor_2_name,actor_3_name
83,Along for the Ride,"Sofia Alvarez (director/screenplay); Emma Pasarow, Belmont Cameli, Kate Bosworth, Andie MacDowell, Dermot Mulroney",Romance Drama,"The summer before college Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on a nightly quest to help Auden experience the fun, carefree teen life she never knew she wanted.",2022-05-06,106.0,Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth
84,Firestarter,"Keith Thomas (director); Scott Teems (screenplay); Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon, Michael Greyeyes, Kurtwood Smith",Thriller Fantasy Horror,A girl with extraordinary pyrokinetic powers fights to protect her family and herself from sinister forces that seek to capture and control her.,2022-05-12,,Keith Thomas,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon
85,Senior Year,"Alex Hardcastle (director); Arthur Pielli, Andrew Knauer, Brandon Scott Jones (screenplay); Rebel Wilson, Justin Hartley, Angourie Rice, Sam Richardson, Zoë Chao, Mary Holland, Chris Parnell, Alicia Silverstone",Comedy,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen.,2022-05-13,111.0,Alex Hardcastle,Rebel Wilson,Justin Hartley,Angourie Rice
86,Sneakerella,"Elizabeth Allen Rosenbaum (director); David Light, Joseph Raso, Tamara Chestna, Mindy Stern, George Gore II (screenplay); Chosen Jacobs, Lexi Underwood, John Salley, Juan Chioran",Comedy Family,"When El, an aspiring sneaker designer from Queens, meets Kira King, the fiercely independent daughter of legendary basketball star and sneaker tycoon Darius King, sparks fly as the two bond over their mutual affinity for sneakers. With a little nudge from his best friend and a sprinkle of Fairy Godfather magic, El finds the courage to use his talent to pursue his dream of becoming a ‘legit’ sneaker designer in the industry.",2022-05-13,,Elizabeth Allen Rosenbaum,Chosen Jacobs,Lexi Underwood,John Salley
87,Montana Story,"Scott McGehee, David Siegel (directors/screenplay); Haley Lu Richardson, Owen Teague",Drama,Follows two estranged siblings as they return home to the sprawling ranch they once knew and loved.,2022-05-02,113.0,"Scott McGehee, David Siegel (directors/screenplay); Haley Lu Richardson, Owen Teague",Haley Lu Richardson,Owen Teague,
88,Family Camp,"Brian Cates (director/screenplay); Rene Gutteridge (screenplay); Leigh-Allyn Baker, Mark Christopher Lawrence",Comedy Family,"When workaholic Tommy's wife insists that he spend more time with his family, he agrees to sign up for Family Camp. What Tommy didn't count on was being forced to share a yurt at camp with the larger-than-life Sanders family.",2022-05-13,,Brian Cates,Leigh-Allyn Baker,Mark Christopher Lawrence,
89,Downton Abbey: A New Era,"Simon Curtis (director); Julian Fellowes (screenplay); Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Maggie Smith, Imelda Staunton, Penelope Wilton, Hugh Dancy, Laura Haddock, Nathalie Baye, Dominic West",Drama History Romance,The residents of Downton Abbey go on a new adventure that takes them to a Spanish villa.,2022-04-27,125.0,Simon Curtis,Hugh Bonneville,Jim Carter,Michelle Dockery
90,Chip 'n Dale: Rescue Rangers,"Akiva Schaffer (director); Dan Gregor, Doug Mand (screenplay); John Mulaney, Andy Samberg, Will Arnett, Eric Bana, Keegan-Michael Key, Seth Rogen, J. K. Simmons, KiKi Layne",Comedy Animation Family Adventure Action,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",2022-05-20,,Akiva Schaffer,John Mulaney,Andy Samberg,Will Arnett
91,Men,"Alex Garland (director/screenplay); Jessie Buckley, Rory Kinnear, Paapa Essiedu",Action Adventure Science Fiction Fantasy,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016-05-18,144.0,Alex Garland,Jessie Buckley,Rory Kinnear,Paapa Essiedu
92,Good Mourning,"Colson Baker, Mod Sun (directors/screenplay); Colson Baker, Mod Sun, Becky G, Pete Davidson, Dove Cameron, Whitney Cummings, Jenna Boyd, Zach Villa, Megan Fox",Comedy,"London Ransom, a movie star, gets his world turned upside down when he must choose between pursuing his one true love and landing a life-changing, starring role in a major motion picture.",2022-05-20,,"Colson Baker, Mod Sun (directors/screenplay); Colson Baker, Mod Sun, Becky G, Pete Davidson, Dove Cameron, Whitney Cummings, Jenna Boyd, Zach Villa, Megan Fox",Colson Baker,Mod Sun,Becky G
93,The Valet,"Richard Wong (director); Rob Greenberg, Bob Fisher (screenplay); Eugenio Derbez, Samara Weaving, Ravi Patel, Amaury Nolasco, John Pirruccello, Max Greenfield, Betsy Brandt, Marisol Nichols, Carmen Salinas",Comedy,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",2022-05-20,,Richard Wong,Eugenio Derbez,Samara Weaving,Ravi Patel
94,Top Gun: Maverick,"Joseph Kosinski (director); Ehren Kruger, Eric Warren Singer, Christopher McQuarrie (screenplay); Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Ed Harris, Val Kilmer",Action Drama,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",2022-05-25,131.0,Joseph Kosinski,Tom Cruise,Miles Teller,Jennifer Connelly
95,The Bob's Burgers Movie,"Loren Bouchard, Bernard Derriman (directors); Loren Bouchard, Nora Smith (screenplay); H. Jon Benjamin, Dan Mintz, Eugene Mirman, Larry Murphy, John Roberts, Kristen Schaal, Zach Galifianakis, Kevin Kline",Animation Adventure Comedy,"When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",2022-05-25,102.0,"Loren Bouchard, Bernard Derriman",H. Jon Benjamin,Dan Mintz,Eugene Mirman
96,Crimes of the Future,"David Cronenberg (director/screenplay); Viggo Mortensen, Léa Seydoux, Kristen Stewart, Scott Speedman",Science Fiction Horror Drama,"As the human species adapts to a synthetic environment, the body undergoes new transformations and mutations. With his partner Caprice, celebrity performance artist Saul Tenser publicly showcases the metamorphosis of his organs in avant-garde performances. Timlin, an investigator from the National Organ Registry, obsessively tracks their movements, which is when a mysterious group is revealed. Their mission – to use Saul’s notoriety to shed light on the next phase of human evolution.",2022-06-02,107.0,David Cronenberg,Viggo Mortensen,Léa Seydoux,Kristen Stewart
97,Benediction,"Terence Davies (director/screenplay); Jack Lowden, Peter Capaldi, Simon Russell Beale, Jeremy Irvine, Kate Phillips, Gemma Jones, Ben Daniels",Drama History War,"The story of soldier and poet Siegfried Sassoon (1886–1967), who was decorated for bravery on the Western Front, and is best remembered for his angry and compassionate poems about the First World War, which brought him public and critical acclaim. Avoiding the sentimentality and jingoism of many war poets, Sassoon wrote of the horror and brutality of trench warfare and contemptuously satirised generals, politicians, and churchmen for their incompetence and blind support of the war.",2021-12-23,137.0,Terence Davies,Jack Lowden,Peter Capaldi,Simon Russell Beale
98,Fire Island,"Andrew Ahn (director); Joel Kim Booster (screenplay); Joel Kim Booster, Bowen Yang, Margaret Cho",Comedy Romance,"Two gay best friends take a trip to the Pines, a hamlet on New York’s Fire Island that’s a hotspot for queer culture. Over the course of their vacation, they party with friends and develop flirtations with two other, significantly wealthier vacationers.",2022-06-03,,Andrew Ahn,Joel Kim Booster,Bowen Yang,Margaret Cho
99,Watcher,"Chloe Okuno (director); Zack Ford (screenplay); Maika Monroe, Karl Glusman, Burn Gorman",Mystery Thriller,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",2000-09-08,96.0,Chloe Okuno,Maika Monroe,Karl Glusman,Burn Gorman
100,Jurassic World Dominion,"Colin Trevorrow (director/screenplay); Emily Carmichael (screenplay); Chris Pratt, Bryce Dallas Howard, Sam Neill, Laura Dern, Jeff Goldblum, Mamoudou Athie, Scott Haze, Dichen Lachman, Campbell Scott, Isabella Sermon, Justice Smith, Omar Sy, Daniella Pineda, DeWanda Wise, BD Wong",Adventure Action Science Fiction Thriller,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",2022-06-08,146.0,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Sam Neill
101,Hustle,"Jeremiah Zagar (director); Taylor Materne, Will Fetters (screenplay); Adam Sandler, Queen Latifah, Ben Foster, Robert Duvall",Comedy,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""",2019-05-09,94.0,Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster
102,The Father of the Bride,"Gaz Alazraki (director); Matt Lopez (screenplay); Andy García, Gloria Estefan, Adria Arjona, Isabela Merced, Diego Boneta",Romance Comedy,"A father coming to grips with his daughter’s upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American family",2022-06-16,,Gaz Alazraki,Andy García,Gloria Estefan,Adria Arjona
103,Lightyear,"Angus MacLane (director/screenplay); Jason Headley (screenplay); Chris Evans, Keke Palmer, Dale Soules, Taika Waititi, Peter Sohn, Uzo Aduba, James Brolin, Mary McDonald-Lewis, Efren Ramirez, Isiah Whitlock Jr.",Animation Science Fiction Adventure Family Action Comedy,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,2022-06-16,,Angus MacLane,Chris Evans,Keke Palmer,Dale Soules
104,Spiderhead,"Joseph Kosinski (director); Rhett Reese, Paul Wernick (screenplay); Chris Hemsworth, Miles Teller, Jurnee Smollett",Action Science Fiction Thriller Crime Drama,"In the near future, two convicts confront their pasts in a facility run by a visionary who gives them emotion-altering drugs.",2022-06-17,105.0,Joseph Kosinski,Chris Hemsworth,Miles Teller,Jurnee Smollett
105,Cha Cha Real Smooth,"Cooper Raiff (director/screenplay); Cooper Raiff, Dakota Johnson, Raúl Castillo, Odeya Rush, Leslie Mann, Brad Garrett",Comedy Drama Romance,"Fresh out of college and stuck at his New Jersey home without a clear path forward, 22-year-old Andrew begins working as a party starter for bar/bat mitzvahs—where he strikes up a unique friendship with a young mom and her teenage daughter.",2022-06-17,107.0,Cooper Raiff,Cooper Raiff,Dakota Johnson,Raúl Castillo
106,Elvis,"Baz Luhrmann (director/screenplay); Sam Bromell, Craig Pearce, Jeremy Doner (screenplay); Austin Butler, Tom Hanks, Helen Thomson, Richard Roxburgh, Olivia DeJonge, Luke Bracey, Natasha Bassett, David Wenham, Kelvin Harrison Jr., Xavier Samuel, Kodi Smit-McPhee",Drama Music History,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",2022-06-22,157.0,Baz Luhrmann,Austin Butler,Tom Hanks,Helen Thomson
107,The Black Phone,"Scott Derrickson (director/screenplay); C. Robert Cargill (screenplay); Ethan Hawke, Mason Thames, Madeleine McGraw, Jeremy Davies, James Ransone",Horror,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",2022-06-22,102.0,Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw
108,Marcel the Shell with Shoes On,"Dean Fleischer-Camp (director/screenplay); Jenny Slate, Nick Paley (screenplay); Jenny Slate, Rosa Salazar, Thomas Mann, Isabella Rossellini",Animation Adventure Comedy Family,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. But when a documentary filmmaker discovers them amongst the clutter of his Airbnb, the short film he posts online brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.",2022-05-04,90.0,Dean Fleischer-Camp,Jenny Slate,Rosa Salazar,Thomas Mann
109,Press Play,"Greg Björkman (director/screenplay); James Bachelor (screenplay); Clara Rugaard, Lewis Pullman, Lyrica Okano, Christina Chang, Matt Walsh, Danny Glover",Romance Drama,"Laura and Harrison have the picture-perfect romance built on the foundation of a shared love of music. After a deadly accident, Laura gets the chance to save the love of her life when she discovers that their mixtape can transport her back in time.",2022-06-16,85.0,Greg Björkman,Clara Rugaard,Lewis Pullman,Lyrica Okano
110,Minions: The Rise of Gru,"Kyle Balda (director); Brian Lynch, Matthew Fogel (screenplay); Steve Carell, Taraji P. Henson, Michelle Yeoh, RZA, Jean-Claude Van Damme, Lucy Lawless, Dolph Lundgren, Danny Trejo, Russell Brand, Julie Andrews, Alan Arkin",Family Animation Action Adventure Comedy,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",2022-06-16,90.0,Kyle Balda,Steve Carell,Taraji P. Henson,Michelle Yeoh
111,The Forgiven,"John Michael McDonagh (director/screenplay); Ralph Fiennes, Jessica Chastain, Caleb Landry Jones, Christopher Abbott, Matt Smith",Thriller,"After the end of Apartheid, Archbishop Desmond Tutu meets with a brutal murderer seeking redemption.",2018-03-09,115.0,John Michael McDonagh,Ralph Fiennes,Jessica Chastain,Caleb Landry Jones
112,Thor: Love and Thunder,"Taika Waititi (director/screenplay); Jennifer Kaytin Robinson (screenplay); Chris Hemsworth, Natalie Portman, Tessa Thompson, Christian Bale, Chris Pratt, Jaimie Alexander, Pom Klementieff, Dave Bautista, Karen Gillan, Sean Gunn, Vin Diesel, Bradley Cooper, Jeff Goldblum, Russell Crowe",Adventure Fantasy Comedy,"Thor goes on a journey unlike anything he’s ever faced — a quest for inner peace. But his retirement is interrupted by a galactic killer known as Gorr the God Butcher, who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who — to Thor’s surprise — inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",2022-07-06,,Taika Waititi,Chris Hemsworth,Natalie Portman,Tessa Thompson
113,The Sea Beast,"Chris Williams (director/screenplay); Karl Urban, Zaris-Angel Hator, Jared Harris, Marianne Jean-Baptiste, Dan Stevens, Kathy Burke",Animation Adventure Comedy Family Fantasy,The life of a legendary sea monster hunter is turned upside down when a young girl stows away on his ship.,2022-07-08,,Chris Williams,Karl Urban,Zaris-Angel Hator,Jared Harris
114,Paws of Fury: The Legend of Hank,"Rob Minkoff, Mark Koetsier (directors); Ed Stone, Nate Hopper, Robert Ben Garant (screenplay); Michael Cera, Ricky Gervais, Mel Brooks, George Takei, Gabriel Iglesias, Djimon Hounsou, Michelle Yeoh, Kylie Kuioka, Samuel L. Jackson",Family Comedy Animation Action,The story revolves around a scrappy young dog who fights to save a town from becoming the litter box of a nefarious feline warlord.,2022-07-15,97.0,"Rob Minkoff, Mark Koetsier",Michael Cera,Ricky Gervais,Mel Brooks
115,Where the Crawdads Sing,"Olivia Newman (director); Lucy Alibar (screenplay); Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, Michael Hyatt, Sterling Macer Jr., David Strathairn",Drama Mystery,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",2022-06-23,,Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson
116,Persuasion,"Carrie Cracknell (director); Ronald Bass, Alice Victoria Winslow (screenplay); Dakota Johnson, Henry Golding, Cosmo Jarvis, Suki Waterhouse, Nikki Amuka-Bird, Richard E. Grant",Romance Drama TV Movie,Persuasion is the newest adaptation of the classic Jane Austen novel of the same name published in 1818. Anne falls deeply in love with handsome young naval officer Frederick Wentworth at the age of nineteen.,2007-04-01,93.0,Carrie Cracknell,Dakota Johnson,Henry Golding,Cosmo Jarvis
117,Mrs. Harris Goes to Paris,"Anthony Fabian (director/screenplay); Carroll Cartwright, Keith Thompson, Olivia Hetreed (screenplay); Lesley Manville, Isabelle Huppert, Jason Isaacs, Lambert Wilson",Drama,A new adaptation of Paul Gallico's much-loved novel about a cleaning lady in 1950s London who falls in love with an haute couture dress by Christian Dior and decides to gamble everything for the sake of this folly.,2022-07-15,,Anthony Fabian,Lesley Manville,Isabelle Huppert,Jason Isaacs
118,Bed Rest,Lori Evans Taylor (director/screenplay); Melissa Barrera,,A pregnant woman on bed rest begins to wonder if her house is haunted or it's all in her head.,2022-07-15,,Lori Evans Taylor,Melissa Barrera,,
119,Nope,"Jordan Peele (director/screenplay); Daniel Kaluuya, Keke Palmer, Steven Yeun",Horror Mystery Science Fiction Thriller,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",2022-07-20,,Jordan Peele,Daniel Kaluuya,Keke Palmer,Steven Yeun
120,House Party,"Calmatic (director); Stephen Glover, Jamal Olori (screenplay); Jacob Latimore, Tosin Cole, Melvin Gregg",Comedy,Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college.,1991-10-23,94.0,Calmatic,Jacob Latimore,Tosin Cole,Melvin Gregg
121,Bullet Train,"David Leitch (director); Zak Olkewicz (screenplay); Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Bad Bunny, Zazie Beetz, Logan Lerman, Karen Fukuhara, Masi Oka, Sandra Bullock",Action Thriller Mystery,"Five assassins find themselves on a fast-moving bullet train from Tokyo to Morioka with only a few stops in between. They discover their missions are not unrelated to one another. The question becomes, who will make it off the train alive and what awaits them at the terminal station?",2022-06-22,,David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson
122,DC League of Super-Pets,"Jared Stern (director/screenplay); John Whittington (screenplay); Dwayne Johnson, Kevin Hart, Kate McKinnon, John Krasinski, Vanessa Bayer, Natasha Lyonne, Diego Luna, Marc Maron, Thomas Middleditch, Ben Schwartz, Keanu Reeves",Action Animation Comedy Family,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",2022-07-27,,Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon
123,Vengeance,"B. J. Novak (director/screenplay); B. J. Novak, Issa Rae, Ashton Kutcher, Boyd Holbrook, Dove Cameron",Action Crime Fantasy,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022-02-17,94.0,B. J. Novak,B. J. Novak,Issa Rae,Ashton Kutcher
124,Luck,"Peggy Holmes (director); Kiel Murray, Jonathan Aibel, Glenn Berger (screenplay); Jane Fonda, Whoopi Goldberg, Eva Noblezada, Simon Pegg, Flula Borg, Lil Rel Howery, Colin O'Donoghue, Adelynn Spoon, John Ratzenberger",Comedy,"Cursed since childhood, dentist Charlie Logan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",2007-09-21,101.0,Peggy Holmes,Jane Fonda,Whoopi Goldberg,Eva Noblezada
125,Easter Sunday,"Jay Chandrasekhar (director); Ken Cheng (screenplay); Jo Koy, Jimmy O. Yang, Tia Carrere, Brandon Wardell, Eva Noblezada, Tiffany Haddish",Comedy,"Set around a family gathering to celebrate Easter Sunday, the comedy will be based on Jo Koy's life experiences and stand-up comedy.",2022-08-05,,Jay Chandrasekhar,Jo Koy,Jimmy O. Yang,Tia Carrere
126,Secret Headquarters,"Henry Joost, Ariel Schulman (director/screenplay); Josh Koenigsberg (screenplay); Owen Wilson, Michael Peña, Jesse Williams, Walker Scobell, Keith L. Williams",Family Action Science Fiction Adventure,A kid who discovers the secret headquarters of the world's most powerful superhero hidden beneath his home and must defend it with his group of friends when villains attack.,2022-08-03,,"Henry Joost, Ariel Schulman",Owen Wilson,Michael Peña,Jesse Williams
127,Bodies Bodies Bodies,"Halina Reijn (director); Sarah DeLappe (screenplay); Amandla Stenberg, Maria Bakalova, Pete Davidson, Rachel Sennott, Lee Pace",Horror Thriller Comedy,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a “killer” while the rest tries to “escape”. Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",2022-08-05,95.0,Halina Reijn,Amandla Stenberg,Maria Bakalova,Pete Davidson
128,Not Okay,"Quinn Shephard (director/screenplay); Zoey Deutch, Dylan O'Brien, Karan Soni, Embeth Davidtz",Comedy Romance,"A misguided young woman, desperate for friends and fame, fakes a trip to Paris to up her social media presence. When a terrifying incident takes place in the real world and becomes part of her imaginary trip, her white lie becomes a moral quandary that offers her all the attention she’s wanted.",2022-08-05,,Quinn Shephard,Zoey Deutch,Dylan O'Brien,Karan Soni
129,Beast,"Baltasar Kormákur (director); Ryan Engle, Jaime Primak (screenplay); Idris Elba, Sharlto Copley",Romance Family Animation Fantasy,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",1991-10-22,84.0,Baltasar Kormákur,Idris Elba,Sharlto Copley,
130,Samaritan,"Julius Avery (director); Bragi F. Schut (screenplay); Sylvester Stallone, Javon Walton, Martin Starr, Moisés Arias, Dascha Polanco, Pilou Asbæk",Thriller Crime Horror,"A thief makes a disturbing discovery in the house where he breaks in. Later, when he returns to the same house with his partner in crime, things are no longer how he expected.",2018-04-19,111.0,Julius Avery,Sylvester Stallone,Javon Walton,Martin Starr
131,The Bride,"Jessica M. Thompson (director/screenplay); Blair Butler (screenplay); Nathalie Emmanuel, Sean Pertwee, Thomas Doherty, Stephanie Corneliussen, Hugh Skinner",Comedy Romance,"George Banks is an ordinary, middle-class man whose 22 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. His wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony, he becomes slightly insane.",1991-12-20,105.0,Jessica M. Thompson,Nathalie Emmanuel,Sean Pertwee,Thomas Doherty
132,Fear,"Deon Taylor (director/screenplay); John Ferry (screenplay); Joseph Sikora, T.I., King Bach, Terrence J, Ruby Modine",Mystery Horror,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",2021-06-28,107.0,Deon Taylor,Joseph Sikora,T.I.,King Bach
133,On a Wing and a Prayer,"Sean McNamara (director); Brian Egeston (screenplay); Dennis Quaid, Heather Graham, Jesse Metcalfe, Brandon Quinn",Drama Thriller,"After a pilot dies unexpectedly while flying the plane, a passenger is forced to land the plane safely in order to save his entire family.",2022-08-25,,Sean McNamara,Dennis Quaid,Heather Graham,Jesse Metcalfe
134,Honk for Jesus. Save Your Soul,"Adamma Ebo (director/screenplay); Regina Hall, Sterling K. Brown",Comedy,"In the aftermath of a huge scandal, Trinity Childs, the first lady of a prominent Southern Baptist Mega Church, attempts to help her pastor-husband, Lee-Curtis Childs, rebuild their congregation.",2022-09-02,98.0,Adamma Ebo,Regina Hall,Sterling K. Brown,
135,After Ever Happy,"Castille Landon (director); Sharon Soboli (screenplay); Hero Fiennes-Tiffin, Josephine Langford, Louise Lombard, Kiana Madeira, Chance Perdomo, Rob Estes, Carter Jenkins, Arielle Kebbel, Stephen Moyer, Mira Sorvino",Romance,"The fourth installment in The After Universe. As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",2022-08-25,119.0,Castille Landon,Hero Fiennes-Tiffin,Josephine Langford,Louise Lombard
